target,test_family,n_obs,partial_r,permutation_p,fdr_q,top_term,effect_sign,low_confidence,base_terms,test_terms,analysis_family,target_class,natural_state,natural_state_token,channel_group,channel_group_token,band,band_token,feature_scope
state_working_mos_theta_whole_slice_norm,bias_score_partial,204,0.08239060923854656,0.4885114885114885,0.9644087256027554,bias_score,positive,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""perf_intermediate"", ""perf_learned""]","[""bias_score""]",lfp_partial_behavior,state_lfp,Working,working,MOs,mos,theta,theta,whole_slice_norm
lfp_ila_gamma_whole_slice_norm,perf_pct_partial,526,0.07690948445678752,0.4915084915084915,0.9644087256027554,perf_pct,positive,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""bias_left"", ""bias_right""]","[""perf_pct""]",lfp_partial_behavior,global_lfp,global,global,ILA,ila,gamma,gamma,whole_slice_norm
state_wake_acad_delta_whole_slice_norm,bias_score_partial,526,0.05489746379719009,0.5124875124875125,0.9644087256027554,bias_score,positive,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""perf_intermediate"", ""perf_learned""]","[""bias_score""]",lfp_partial_behavior,state_lfp,Wake,wake,ACAd,acad,delta,delta,whole_slice_norm
lfp_mos_delta_whole_slice_norm,bias_score_partial,526,0.054251985410209466,0.5164835164835165,0.9644087256027554,bias_score,positive,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""perf_intermediate"", ""perf_learned""]","[""bias_score""]",lfp_partial_behavior,global_lfp,global,global,MOs,mos,delta,delta,whole_slice_norm
lfp_acad_theta_whole_slice_norm,bias_score_partial,526,0.07937749407153992,0.5184815184815185,0.9644087256027554,bias_score,positive,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""perf_intermediate"", ""perf_learned""]","[""bias_score""]",lfp_partial_behavior,global_lfp,global,global,ACAd,acad,theta,theta,whole_slice_norm
state_rem_ila_delta_whole_slice_norm,bias_score_partial,350,0.05461310908586553,0.5194805194805194,0.9644087256027554,bias_score,positive,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""perf_intermediate"", ""perf_learned""]","[""bias_score""]",lfp_partial_behavior,state_lfp,REM,rem,ILA,ila,delta,delta,whole_slice_norm
lfp_pl_gamma_whole_slice_norm,perf_pct_partial,526,0.07013234000253113,0.5264735264735265,0.9644087256027554,perf_pct,positive,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""bias_left"", ""bias_right""]","[""perf_pct""]",lfp_partial_behavior,global_lfp,global,global,PL,pl,gamma,gamma,whole_slice_norm
state_working_acad_gamma_whole_slice_norm,bias_score_partial,204,-0.08678000642768147,0.5344655344655345,0.9644087256027554,bias_score,negative,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""perf_intermediate"", ""perf_learned""]","[""bias_score""]",lfp_partial_behavior,state_lfp,Working,working,ACAd,acad,gamma,gamma,whole_slice_norm
state_working_mos_gamma_whole_slice_norm,bias_score_partial,204,-0.09975339433839199,0.5384615384615384,0.9644087256027554,bias_score,negative,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""perf_intermediate"", ""perf_learned""]","[""bias_score""]",lfp_partial_behavior,state_lfp,Working,working,MOs,mos,gamma,gamma,whole_slice_norm
state_wake_pl_delta_whole_slice_norm,bias_score_partial,526,0.04592164702519352,0.5514485514485514,0.9731445025562673,bias_score,positive,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""perf_intermediate"", ""perf_learned""]","[""bias_score""]",lfp_partial_behavior,state_lfp,Wake,wake,PL,pl,delta,delta,whole_slice_norm
state_nrem_ila_theta_whole_slice_norm,bias_score_partial,468,-0.055056566308920946,0.5704295704295704,0.9793777650920508,bias_score,negative,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""perf_intermediate"", ""perf_learned""]","[""bias_score""]",lfp_partial_behavior,state_lfp,NREM,nrem,ILA,ila,theta,theta,whole_slice_norm
state_rem_acad_delta_whole_slice_norm,bias_score_partial,350,0.04376652030812496,0.5774225774225774,0.9793777650920508,bias_score,positive,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""perf_intermediate"", ""perf_learned""]","[""bias_score""]",lfp_partial_behavior,state_lfp,REM,rem,ACAd,acad,delta,delta,whole_slice_norm
lfp_acad_theta_whole_slice_norm,perf_pct_partial,526,-0.055295976708874144,0.6043956043956044,0.9793777650920508,perf_pct,negative,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""bias_left"", ""bias_right""]","[""perf_pct""]",lfp_partial_behavior,global_lfp,global,global,ACAd,acad,theta,theta,whole_slice_norm
state_nrem_acad_delta_whole_slice_norm,perf_pct_partial,468,-0.03416929554281348,0.6223776223776224,0.9793777650920508,perf_pct,negative,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""bias_left"", ""bias_right""]","[""perf_pct""]",lfp_partial_behavior,state_lfp,NREM,nrem,ACAd,acad,delta,delta,whole_slice_norm
state_wake_pl_theta_whole_slice_norm,bias_score_partial,526,0.040846783662615786,0.6233766233766234,0.9793777650920508,bias_score,positive,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""perf_intermediate"", ""perf_learned""]","[""bias_score""]",lfp_partial_behavior,state_lfp,Wake,wake,PL,pl,theta,theta,whole_slice_norm
lfp_ila_theta_whole_slice_norm,perf_pct_partial,526,0.039083786529018345,0.6343656343656343,0.9793777650920508,perf_pct,positive,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""bias_left"", ""bias_right""]","[""perf_pct""]",lfp_partial_behavior,global_lfp,global,global,ILA,ila,theta,theta,whole_slice_norm
state_rem_ila_theta_whole_slice_norm,perf_pct_partial,350,0.03513596591188148,0.6363636363636364,0.9793777650920508,perf_pct,positive,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""bias_left"", ""bias_right""]","[""perf_pct""]",lfp_partial_behavior,state_lfp,REM,rem,ILA,ila,theta,theta,whole_slice_norm
state_working_mos_delta_whole_slice_norm,perf_pct_partial,204,-0.05950794753199792,0.6383616383616384,0.9793777650920508,perf_pct,negative,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""bias_left"", ""bias_right""]","[""perf_pct""]",lfp_partial_behavior,state_lfp,Working,working,MOs,mos,delta,delta,whole_slice_norm
state_working_acad_theta_whole_slice_norm,perf_pct_partial,204,-0.05759100429497366,0.6513486513486514,0.9793777650920508,perf_pct,negative,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""bias_left"", ""bias_right""]","[""perf_pct""]",lfp_partial_behavior,state_lfp,Working,working,ACAd,acad,theta,theta,whole_slice_norm
state_wake_acad_theta_whole_slice_norm,bias_score_partial,526,0.04805096768009826,0.6613386613386614,0.9793777650920508,bias_score,positive,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""perf_intermediate"", ""perf_learned""]","[""bias_score""]",lfp_partial_behavior,state_lfp,Wake,wake,ACAd,acad,theta,theta,whole_slice_norm
state_working_mos_gamma_whole_slice_norm,perf_pct_partial,204,0.057975341646779185,0.6723276723276723,0.9793777650920508,perf_pct,positive,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""bias_left"", ""bias_right""]","[""perf_pct""]",lfp_partial_behavior,state_lfp,Working,working,MOs,mos,gamma,gamma,whole_slice_norm
lfp_ila_delta_whole_slice_norm,bias_score_partial,526,-0.03984305436888627,0.6853146853146853,0.9793777650920508,bias_score,negative,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""perf_intermediate"", ""perf_learned""]","[""bias_score""]",lfp_partial_behavior,global_lfp,global,global,ILA,ila,delta,delta,whole_slice_norm
lfp_ila_theta_whole_slice_norm,bias_score_partial,526,-0.04113895816315094,0.6903096903096904,0.9793777650920508,bias_score,negative,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""perf_intermediate"", ""perf_learned""]","[""bias_score""]",lfp_partial_behavior,global_lfp,global,global,ILA,ila,theta,theta,whole_slice_norm
state_working_ila_gamma_whole_slice_norm,bias_score_partial,204,0.03577991889626663,0.7012987012987013,0.9793777650920508,bias_score,positive,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""perf_intermediate"", ""perf_learned""]","[""bias_score""]",lfp_partial_behavior,state_lfp,Working,working,ILA,ila,gamma,gamma,whole_slice_norm
state_nrem_mos_gamma_whole_slice_norm,bias_score_partial,468,0.04739531766433869,0.7202797202797203,0.9793777650920508,bias_score,positive,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""perf_intermediate"", ""perf_learned""]","[""bias_score""]",lfp_partial_behavior,state_lfp,NREM,nrem,MOs,mos,gamma,gamma,whole_slice_norm
state_working_pl_gamma_whole_slice_norm,perf_pct_partial,204,0.04461391342855587,0.7292707292707292,0.9793777650920508,perf_pct,positive,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""bias_left"", ""bias_right""]","[""perf_pct""]",lfp_partial_behavior,state_lfp,Working,working,PL,pl,gamma,gamma,whole_slice_norm
state_wake_acad_theta_whole_slice_norm,perf_pct_partial,526,-0.030671640761106327,0.7302697302697303,0.9793777650920508,perf_pct,negative,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""bias_left"", ""bias_right""]","[""perf_pct""]",lfp_partial_behavior,state_lfp,Wake,wake,ACAd,acad,theta,theta,whole_slice_norm
state_wake_mos_delta_whole_slice_norm,perf_pct_partial,526,0.023552680719644,0.7562437562437563,0.9793777650920508,perf_pct,positive,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""bias_left"", ""bias_right""]","[""perf_pct""]",lfp_partial_behavior,state_lfp,Wake,wake,MOs,mos,delta,delta,whole_slice_norm
state_nrem_acad_theta_whole_slice_norm,bias_score_partial,468,0.027559826920301053,0.7692307692307693,0.9793777650920508,bias_score,positive,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""perf_intermediate"", ""perf_learned""]","[""bias_score""]",lfp_partial_behavior,state_lfp,NREM,nrem,ACAd,acad,theta,theta,whole_slice_norm
lfp_acad_delta_whole_slice_norm,bias_score_partial,526,0.021441079230027024,0.8041958041958042,0.9793777650920508,bias_score,positive,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""perf_intermediate"", ""perf_learned""]","[""bias_score""]",lfp_partial_behavior,global_lfp,global,global,ACAd,acad,delta,delta,whole_slice_norm
lfp_acad_gamma_whole_slice_norm,perf_pct_partial,526,-0.02886765502380126,0.8061938061938062,0.9793777650920508,perf_pct,negative,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""bias_left"", ""bias_right""]","[""perf_pct""]",lfp_partial_behavior,global_lfp,global,global,ACAd,acad,gamma,gamma,whole_slice_norm
lfp_ila_delta_whole_slice_norm,perf_pct_partial,526,0.01708215709875144,0.8091908091908092,0.9793777650920508,perf_pct,positive,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""bias_left"", ""bias_right""]","[""perf_pct""]",lfp_partial_behavior,global_lfp,global,global,ILA,ila,delta,delta,whole_slice_norm
state_working_acad_gamma_whole_slice_norm,perf_pct_partial,204,-0.03048624618483721,0.8101898101898102,0.9793777650920508,perf_pct,negative,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""bias_left"", ""bias_right""]","[""perf_pct""]",lfp_partial_behavior,state_lfp,Working,working,ACAd,acad,gamma,gamma,whole_slice_norm
state_working_pl_gamma_whole_slice_norm,bias_score_partial,204,-0.02978818220609596,0.8191808191808192,0.9793777650920508,bias_score,negative,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""perf_intermediate"", ""perf_learned""]","[""bias_score""]",lfp_partial_behavior,state_lfp,Working,working,PL,pl,gamma,gamma,whole_slice_norm
state_working_acad_delta_whole_slice_norm,perf_pct_partial,204,-0.02561990887920474,0.8231768231768232,0.9793777650920508,perf_pct,negative,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""bias_left"", ""bias_right""]","[""perf_pct""]",lfp_partial_behavior,state_lfp,Working,working,ACAd,acad,delta,delta,whole_slice_norm
state_rem_pl_theta_whole_slice_norm,bias_score_partial,350,-0.0198022961653962,0.8261738261738262,0.9793777650920508,bias_score,negative,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""perf_intermediate"", ""perf_learned""]","[""bias_score""]",lfp_partial_behavior,state_lfp,REM,rem,PL,pl,theta,theta,whole_slice_norm
state_wake_pl_theta_whole_slice_norm,perf_pct_partial,526,-0.017481343357027435,0.8311688311688312,0.9793777650920508,perf_pct,negative,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""bias_left"", ""bias_right""]","[""perf_pct""]",lfp_partial_behavior,state_lfp,Wake,wake,PL,pl,theta,theta,whole_slice_norm
state_wake_ila_delta_whole_slice_norm,perf_pct_partial,526,0.01664208653719404,0.8371628371628371,0.9793777650920508,perf_pct,positive,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""bias_left"", ""bias_right""]","[""perf_pct""]",lfp_partial_behavior,state_lfp,Wake,wake,ILA,ila,delta,delta,whole_slice_norm
state_working_ila_gamma_whole_slice_norm,perf_pct_partial,204,-0.024292078585808865,0.8391608391608392,0.9793777650920508,perf_pct,negative,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""bias_left"", ""bias_right""]","[""perf_pct""]",lfp_partial_behavior,state_lfp,Working,working,ILA,ila,gamma,gamma,whole_slice_norm
state_wake_mos_delta_whole_slice_norm,bias_score_partial,526,0.013027780475822577,0.8441558441558441,0.9793777650920508,bias_score,positive,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""perf_intermediate"", ""perf_learned""]","[""bias_score""]",lfp_partial_behavior,state_lfp,Wake,wake,MOs,mos,delta,delta,whole_slice_norm
lfp_pl_delta_whole_slice_norm,perf_pct_partial,526,0.016005620955132537,0.8471528471528471,0.9793777650920508,perf_pct,positive,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""bias_left"", ""bias_right""]","[""perf_pct""]",lfp_partial_behavior,global_lfp,global,global,PL,pl,delta,delta,whole_slice_norm
state_nrem_mos_delta_whole_slice_norm,bias_score_partial,468,-0.018356103721437166,0.8571428571428571,0.9793777650920508,bias_score,negative,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""perf_intermediate"", ""perf_learned""]","[""bias_score""]",lfp_partial_behavior,state_lfp,NREM,nrem,MOs,mos,delta,delta,whole_slice_norm
state_wake_acad_gamma_whole_slice_norm,perf_pct_partial,526,-0.020176532538983084,0.8591408591408591,0.9793777650920508,perf_pct,negative,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""bias_left"", ""bias_right""]","[""perf_pct""]",lfp_partial_behavior,state_lfp,Wake,wake,ACAd,acad,gamma,gamma,whole_slice_norm
state_rem_pl_theta_whole_slice_norm,perf_pct_partial,350,-0.01588362585450419,0.8591408591408591,0.9793777650920508,perf_pct,negative,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""bias_left"", ""bias_right""]","[""perf_pct""]",lfp_partial_behavior,state_lfp,REM,rem,PL,pl,theta,theta,whole_slice_norm
state_rem_pl_delta_whole_slice_norm,bias_score_partial,350,-0.014290940076090254,0.8621378621378621,0.9793777650920508,bias_score,negative,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""perf_intermediate"", ""perf_learned""]","[""bias_score""]",lfp_partial_behavior,state_lfp,REM,rem,PL,pl,delta,delta,whole_slice_norm
state_rem_mos_gamma_whole_slice_norm,bias_score_partial,350,0.020509942115127442,0.8711288711288712,0.9793777650920508,bias_score,positive,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""perf_intermediate"", ""perf_learned""]","[""bias_score""]",lfp_partial_behavior,state_lfp,REM,rem,MOs,mos,gamma,gamma,whole_slice_norm
state_wake_acad_delta_whole_slice_norm,perf_pct_partial,526,0.013451034517442367,0.8721278721278721,0.9793777650920508,perf_pct,positive,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""bias_left"", ""bias_right""]","[""perf_pct""]",lfp_partial_behavior,state_lfp,Wake,wake,ACAd,acad,delta,delta,whole_slice_norm
state_wake_pl_delta_whole_slice_norm,perf_pct_partial,526,0.013185304802070986,0.8751248751248751,0.9793777650920508,perf_pct,positive,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""bias_left"", ""bias_right""]","[""perf_pct""]",lfp_partial_behavior,state_lfp,Wake,wake,PL,pl,delta,delta,whole_slice_norm
lfp_pl_delta_whole_slice_norm,bias_score_partial,526,0.01000053859444217,0.8981018981018981,0.9793777650920508,bias_score,positive,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""perf_intermediate"", ""perf_learned""]","[""bias_score""]",lfp_partial_behavior,global_lfp,global,global,PL,pl,delta,delta,whole_slice_norm
state_rem_acad_delta_whole_slice_norm,perf_pct_partial,350,-0.009024664354605352,0.8991008991008991,0.9793777650920508,perf_pct,negative,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""bias_left"", ""bias_right""]","[""perf_pct""]",lfp_partial_behavior,state_lfp,REM,rem,ACAd,acad,delta,delta,whole_slice_norm
lfp_pl_theta_whole_slice_norm,perf_pct_partial,526,-0.010630578216426477,0.906093906093906,0.9793777650920508,perf_pct,negative,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""bias_left"", ""bias_right""]","[""perf_pct""]",lfp_partial_behavior,global_lfp,global,global,PL,pl,theta,theta,whole_slice_norm
state_nrem_pl_theta_whole_slice_norm,bias_score_partial,468,0.008702328923779746,0.9080919080919081,0.9793777650920508,bias_score,positive,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""perf_intermediate"", ""perf_learned""]","[""bias_score""]",lfp_partial_behavior,state_lfp,NREM,nrem,PL,pl,theta,theta,whole_slice_norm
state_wake_ila_theta_whole_slice_norm,perf_pct_partial,526,0.011155430374677701,0.9140859140859141,0.9793777650920508,perf_pct,positive,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""bias_left"", ""bias_right""]","[""perf_pct""]",lfp_partial_behavior,state_lfp,Wake,wake,ILA,ila,theta,theta,whole_slice_norm
state_rem_ila_delta_whole_slice_norm,perf_pct_partial,350,-0.008206835056599002,0.9140859140859141,0.9793777650920508,perf_pct,negative,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""bias_left"", ""bias_right""]","[""perf_pct""]",lfp_partial_behavior,state_lfp,REM,rem,ILA,ila,delta,delta,whole_slice_norm
state_wake_ila_theta_whole_slice_norm,bias_score_partial,526,-0.009490728367392053,0.929070929070929,0.986623995473553,bias_score,negative,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""perf_intermediate"", ""perf_learned""]","[""bias_score""]",lfp_partial_behavior,state_lfp,Wake,wake,ILA,ila,theta,theta,whole_slice_norm
lfp_acad_delta_whole_slice_norm,perf_pct_partial,526,0.0048400144020888875,0.957042957042957,0.997646421375235,perf_pct,positive,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""bias_left"", ""bias_right""]","[""perf_pct""]",lfp_partial_behavior,global_lfp,global,global,ACAd,acad,delta,delta,whole_slice_norm
state_wake_ila_gamma_whole_slice_norm,perf_pct_partial,526,-0.0030127404588327837,0.97002997002997,0.997646421375235,perf_pct,negative,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""bias_left"", ""bias_right""]","[""perf_pct""]",lfp_partial_behavior,state_lfp,Wake,wake,ILA,ila,gamma,gamma,whole_slice_norm
lfp_pl_theta_whole_slice_norm,bias_score_partial,526,0.0035705051411495502,0.973026973026973,0.997646421375235,bias_score,positive,0,"[""elapsed_day"", ""circadian_sin"", ""circadian_cos"", ""occ_wake"", ""occ_miniwake"", ""occ_nrem"", ""occ_rem"", ""rule_frequency"", ""rule_reversal_frequency"", ""perf_intermediate"", ""perf_learned""]","[""bias_score""]",lfp_partial_behavior,global_lfp,global,global,PL,pl,theta,theta,whole_slice_norm
